Mars-scaled Solar Photon Irradiance from LISIRD...http://lasp.colorado.edu/lisird/whi_ref_spectra/
I resampled these to 1-nm intervals and converted to photons 
assuming that all of the light was at the center of the bin.
Wavelength [nm]	Spectral Irradiance [ph/cm2/s/nm]
0.5	47873.64737946282
1.5	3.9576590419917475e6
2.5	8.480191368076537e6
3.5	5.993813714274854e6
4.5	2.072503887862628e7
5.5	2.2455686415960323e7
6.5	2.8617702344770256e7
7.5	3.702730339413233e7
8.5	4.10226102446318e7
9.5	4.3417118006416425e7
10.5	3.7795638808468275e7
11.5	3.208315508564852e7
12.5	1.6741573894327937e7
13.5	2.1355911047230873e7
14.5	4.475113676657179e7
15.5	3.3079752230790835e7
16.5	7.49713754408677e7
17.5	7.327602577394081e8
18.5	4.3364718832896465e8
19.5	2.6179574873638222e8
20.5	1.4120972157280523e8
21.5	1.2235867428680557e8
22.5	2.467638334306408e8
23.5	1.579592171551001e8
24.5	1.8933041365242583e8
25.5	3.0340481005390465e8
26.5	5.570910959125441e7
27.5	1.0659593582273825e8
28.5	4.2950273035417005e7
29.5	7.509379235935175e7
30.5	2.7446115882376065e9
31.5	2.0872013355133867e8
32.5	4.703293208428941e7
33.5	5.77994115220681e7
34.5	1.9584405601359037e8
35.5	1.1635267386077541e8
36.5	2.842296469860684e8
37.5	3.9467167021655224e7
38.5	2.4279476954370055e7
39.5	2.3754692508163728e7
40.5	5.064283390442168e7
41.5	3.1287824120285984e7
42.5	2.628205689959704e7
43.5	1.2185691533007257e8
44.5	3.170213544968769e7
45.5	3.409677876397004e7
46.5	1.8953605004473227e8
47.5	4.70873049021762e7
48.5	1.0345838348943295e8
49.5	1.4817170870007977e8
50.5	1.9456141490333205e8
51.5	3.5391848845407546e7
52.5	6.26678049616742e7
53.5	1.0726625506948437e8
54.5	3.411534988992614e7
55.5	3.6987435344153917e8
56.5	6.207103899435878e7
57.5	3.851028404729592e7
58.5	6.385900043754487e8
59.5	7.657470892752196e7
60.5	2.1359464268587404e8
61.5	9.742842551495512e7
62.5	7.125372348250508e8
63.5	2.5336931911553282e8
64.5	1.9890284909245837e7
65.5	2.5237736274570245e7
66.5	3.5284047305670045e7
67.5	2.8979372674996063e7
68.5	1.0010821326797852e8
69.5	4.5556752371041596e7
70.5	2.206833788810179e8
71.5	6.871428949667446e7
72.5	4.7322905987419344e7
73.5	5.2678382385934964e7
74.5	7.108051666975407e7
75.5	1.0549591103741299e8
76.5	3.214438338977621e8
77.5	2.9016227772497076e8
78.5	4.3274464726652265e8
79.5	2.871849636258544e8
80.5	1.615276247290493e8
81.5	1.9576591813180265e8
82.5	2.2584098008103675e8
83.5	6.858820290097206e8
84.5	3.2639665322842026e8
85.5	3.8813199960698485e8
86.5	4.431259515709702e8
87.5	5.019736718894323e8
88.5	5.954569531111954e8
89.5	7.087853151952635e8
90.5	9.116068351781086e8
91.5	6.865973232739075e8
92.5	2.1285497488973466e8
93.5	2.4272635890914953e8
94.5	1.9000265210565576e8
95.5	1.136018332839153e8
96.5	5.2888773959861495e7
97.5	2.5015320651885676e9
98.5	1.3999969864662737e8
99.5	2.702717054444298e8
100.5	8.71197963266369e7
101.5	1.0565047341741714e8
102.5	1.5210467658350623e9
103.5	1.6703009403921223e9
104.5	1.2664174282367212e8
105.5	1.3136109412319134e8
106.5	1.5034837058498305e8
107.5	2.0031830453998598e8
108.5	3.7066317246491116e8
109.5	2.4923555623280862e8
