# H2O2 Cross-Sections
# resampled from JPL Eval 17, Table 4B-6
#[nm]	[m^2]
190.5	6.61E-23
191.5	6.40E-23
192.5	6.18E-23
193.5	5.96E-23
194.5	5.75E-23
195.5	5.55E-23
196.5	5.37E-23
197.5	5.20E-23
198.5	5.02E-23
199.5	4.84E-23
200.5	4.68E-23
201.5	4.55E-23
202.5	4.42E-23
203.5	4.28E-23
204.5	4.15E-23
205.5	4.03E-23
206.5	3.93E-23
207.5	3.83E-23
208.5	3.72E-23
209.5	3.62E-23
210.5	3.52E-23
211.5	3.42E-23
212.5	3.32E-23
213.5	3.22E-23
214.5	3.12E-23
215.5	3.02E-23
216.5	2.92E-23
217.5	2.83E-23
218.5	2.73E-23
219.5	2.63E-23
220.5	2.54E-23
221.5	2.46E-23
222.5	2.38E-23
223.5	2.29E-23
224.5	2.21E-23
225.5	2.14E-23
226.5	2.07E-23
227.5	2.00E-23
228.5	1.93E-23
229.5	1.86E-23
230.5	1.79E-23
231.5	1.72E-23
232.5	1.66E-23
233.5	1.60E-23
234.5	1.53E-23
235.5	1.47E-23
236.5	1.42E-23
237.5	1.37E-23
238.5	1.32E-23
239.5	1.27E-23
240.5	1.22E-23
241.5	1.17E-23
242.5	1.13E-23
243.5	1.09E-23
244.5	1.04E-23
245.5	1.00E-23
246.5	9.63E-24
247.5	9.25E-24
248.5	8.87E-24
249.5	8.49E-24
250.5	8.14E-24
251.5	7.82E-24
252.5	7.50E-24
253.5	7.18E-24
254.5	6.86E-24
255.5	6.56E-24
256.5	6.28E-24
257.5	6.00E-24
258.5	5.72E-24
259.5	5.44E-24
