# O2 Cross-Sections
# resampled from (Yoshino 2005)	@ 295 K, (Yoshino 1988) @ 298 K, (Fally 2000) @ 288 K
#[nm]	[cm^2]
130.5	3.77E-019
131.5	7.30E-019
132.5	1.72E-018
133.5	2.21E-018
134.5	3.29E-018
135.5	7.04E-018
136.5	9.76E-018
137.5	1.29E-017
138.5	1.40E-017
139.5	1.42E-017
140.5	1.44E-017
141.5	1.44E-017
142.5	1.44E-017
143.5	1.42E-017
144.5	1.41E-017
145.5	1.38E-017
146.5	1.35E-017
147.5	1.30E-017
148.5	1.25E-017
149.5	1.19E-017
150.5	1.12E-017
151.5	1.05E-017
152.5	9.69E-018
153.5	8.84E-018
154.5	8.08E-018
155.5	7.43E-018
156.5	6.64E-018
157.5	5.98E-018
158.5	5.28E-018
159.5	4.67E-018
160.5	4.14E-018
161.5	3.64E-018
162.5	3.11E-018
163.5	2.68E-018
164.5	2.27E-018
165.5	1.89E-018
166.5	1.58E-018
167.5	1.32E-018
168.5	1.09E-018
169.5	8.78E-019
170.5	7.15E-019
171.5	5.72E-019
172.5	4.59E-019
173.5	3.58E-019
174.5	2.74E-019
175.5	1.90E-019
176.5	0
177.5	0
178.5	0
179.5	0
180.5	0
181.5	0
182.5	0
183.5	0
184.5	0
185.5	0
186.5	0
187.5	0
188.5	0
189.5	0
190.5	0
191.5	0
192.5	0
193.5	0
194.5	0
195.5	0
196.5	0
197.5	0
198.5	0
199.5	0
200.5	0
201.5	0
202.5	0
203.5	0
204.5	7.29E-024
205.5	7.26E-024
206.5	7.08E-024
207.5	6.96E-024
208.5	6.77E-024
209.5	6.60E-024
210.5	6.38E-024
211.5	6.14E-024
212.5	5.97E-024
213.5	5.80E-024
214.5	5.66E-024
215.5	5.47E-024
216.5	5.24E-024
217.5	5.01E-024
218.5	4.76E-024
219.5	4.55E-024
220.5	4.36E-024
221.5	4.17E-024
222.5	3.99E-024
223.5	3.78E-024
224.5	3.56E-024
225.5	3.33E-024
226.5	3.09E-024
227.5	2.87E-024
228.5	2.70E-024
229.5	2.53E-024
230.5	2.34E-024
231.5	2.17E-024
232.5	2.02E-024
233.5	1.86E-024
234.5	1.70E-024
235.5	1.55E-024
236.5	1.41E-024
237.5	1.28E-024
238.5	1.16E-024
239.5	1.04E-024
240.5	9.45E-25
241.5	8.37E-25
242.5	6.38E-25
243.5	2.34E-25
244.5	1.00E-25
