# O3 Cross-Sections
# resampled from (Yoshino 1993) @ 195K & (Bogumil 2003) @ 203K
#[nm]	[cm^2]
185.5	6.07E-019
186.5	5.79E-019
187.5	5.52E-019
188.5	5.32E-019
189.5	5.09E-019
190.5	4.88E-019
191.5	4.65E-019
192.5	4.41E-019
193.5	4.16E-019
194.5	3.89E-019
195.5	3.67E-019
196.5	3.48E-019
197.5	3.36E-019
198.5	3.22E-019
199.5	3.05E-019
200.5	2.97E-019
201.5	2.97E-019
202.5	3.07E-019
203.5	3.17E-019
204.5	3.33E-019
205.5	3.56E-019
206.5	3.88E-019
207.5	4.25E-019
208.5	4.70E-019
209.5	5.22E-019
210.5	5.81E-019
211.5	6.55E-019
212.5	7.42E-019
213.5	8.36E-019
214.5	9.34E-019
215.5	1.05E-018
216.5	1.18E-018
217.5	1.33E-018
218.5	1.48E-018
219.5	1.66E-018
220.5	1.85E-018
221.5	2.05E-018
222.5	2.26E-018
223.5	2.50E-018
224.5	2.73E-018
225.5	2.98E-018
226.5	3.25E-018
227.5	3.54E-018
228.5	3.86E-018
229.5	4.14E-018
230.5	4.46E-018
231.5	4.82E-018
232.5	5.19E-018
233.5	5.53E-018
234.5	5.87E-018
235.5	6.21E-018
236.5	6.62E-018
237.5	7.03E-018
238.5	7.38E-018
239.5	7.78E-018
240.5	8.09E-018
241.5	8.51E-018
242.5	8.88E-018
243.5	9.32E-018
244.5	9.50E-018
245.5	9.95E-018
246.5	1.00E-017
247.5	1.03E-017
248.5	1.05E-017
249.5	1.08E-017
250.5	1.09E-017
251.5	1.12E-017
252.5	1.12E-017
253.5	1.14E-017
254.5	1.14E-017
255.5	1.16E-017
256.5	1.13E-017
257.5	1.12E-017
258.5	1.14E-017
259.5	1.09E-017
260.5	1.09E-017
261.5	1.06E-017
262.5	1.05E-017
263.5	9.93E-018
264.5	9.92E-018
265.5	9.51E-018
266.5	9.11E-018
267.5	8.76E-018
268.5	8.34E-018
269.5	8.00E-018
270.5	7.59E-018
271.5	7.20E-018
272.5	6.85E-018
273.5	6.39E-018
274.5	5.90E-018
275.5	5.56E-018
276.5	5.17E-018
277.5	4.83E-018
278.5	4.42E-018
279.5	4.09E-018
280.5	3.73E-018
281.5	3.36E-018
282.5	3.06E-018
283.5	2.85E-018
284.5	2.52E-018
285.5	2.27E-018
286.5	2.07E-018
287.5	1.86E-018
288.5	1.63E-018
289.5	1.46E-018
290.5	1.32E-018
291.5	1.16E-018
292.5	1.02E-018
293.5	9.00E-019
294.5	7.99E-019
295.5	6.97E-019
296.5	6.08E-019
297.5	5.32E-019
298.5	4.64E-019
299.5	4.02E-019
300.5	3.51E-019
301.5	3.02E-019
302.5	2.67E-019
303.5	2.29E-019
304.5	2.06E-019
305.5	1.73E-019
306.5	1.58E-019
307.5	1.31E-019
308.5	1.19E-019
309.5	1.01E-019
310.5	8.76E-020
311.5	7.73E-020
312.5	5.82E-020
313.5	5.57E-020
314.5	4.40E-020
315.5	4.16E-020
316.5	3.23E-020
317.5	3.22E-020
318.5	2.36E-020
319.5	2.24E-020
320.5	2.02E-020
321.5	1.33E-020
322.5	1.86E-020
323.5	9.20E-021
324.5	1.06E-020
325.5	1.12E-020
326.5	5.27E-021
327.5	7.06E-021
328.5	7.23E-021
329.5	2.61E-021
330.5	4.57E-021
331.5	4.91E-021
332.5	1.69E-021
333.5	3.00E-021
334.5	2.47E-021
335.5	8.78E-022
336.5	1.40E-021
337.5	2.41E-021
338.5	7.75E-022
339.5	5.81E-022
340.5	1.20E-021
341.5	3.86E-022
342.5	2.24E-022
343.5	5.56E-022
344.5	8.26E-022
345.5	2.57E-022
346.5	1.37E-022
347.5	2.84E-022
348.5	1.04E-022
349.5	6.43E-023
350.5	7.06E-023
351.5	2.64E-022
352.5	1.27E-022
353.5	4.81E-023
354.5	3.46E-023
355.5	4.46E-023
356.5	2.41E-023
357.5	2.00E-023
358.5	1.39E-023
359.5	4.90E-023
360.5	3.39E-023
361.5	1.38E-023
362.5	7.64E-024
363.5	7.64E-024
364.5	8.05E-024
365.5	8.24E-024
366.5	5.68E-024
367.5	5.03E-024
368.5	8.89E-024
369.5	7.07E-024
370.5	4.98E-024
371.5	4.25E-024
372.5	4.10E-024
373.5	4.79E-024
374.5	5.05E-024
375.5	4.87E-024
376.5	4.70E-024
377.5	4.56E-024
378.5	4.59E-024
379.5	4.83E-024
380.5	5.24E-024
381.5	5.67E-024
382.5	5.95E-024
383.5	5.91E-024
384.5	5.69E-024
385.5	5.75E-024
386.5	6.31E-024
387.5	6.94E-024
388.5	7.36E-024
389.5	7.60E-024
390.5	7.88E-024
391.5	8.15E-024
392.5	8.72E-024
393.5	9.91E-024
394.5	1.15E-023
395.5	1.25E-023
396.5	1.22E-023
397.5	1.16E-023
398.5	1.12E-023
399.5	1.16E-023
