# O3 Chappuis Bands Cross-Sections
# sampled from MT_CKD @ 10 mbar, 173 K
#[cm-1]	[cm^2]
5000	2.487E-29
5001	2.489E-29
5002	2.491E-29
5003	2.493E-29
5004	2.495E-29
5005	2.497E-29
5006	2.499E-29
5007	2.501E-29
5008	2.503E-29
5009	2.505E-29
5010	2.507E-29
5011	2.509E-29
5012	2.511E-29
5013	2.513E-29
5014	2.515E-29
5015	2.517E-29
5016	2.519E-29
5017	2.521E-29
5018	2.523E-29
5019	2.525E-29
5020	2.527E-29
5021	2.529E-29
5022	2.531E-29
5023	2.533E-29
5024	2.535E-29
5025	2.537E-29
5026	2.539E-29
5027	2.541E-29
5028	2.543E-29
5029	2.545E-29
5030	2.547E-29
5031	2.549E-29
5032	2.551E-29
5033	2.553E-29
5034	2.555E-29
5035	2.557E-29
5036	2.559E-29
5037	2.562E-29
5038	2.564E-29
5039	2.566E-29
5040	2.568E-29
5041	2.570E-29
5042	2.572E-29
5043	2.574E-29
5044	2.576E-29
5045	2.578E-29
5046	2.580E-29
5047	2.582E-29
5048	2.584E-29
5049	2.586E-29
5050	2.588E-29
5051	2.590E-29
5052	2.592E-29
5053	2.594E-29
5054	2.596E-29
5055	2.598E-29
5056	2.600E-29
5057	2.603E-29
5058	2.605E-29
5059	2.607E-29
5060	2.609E-29
5061	2.611E-29
5062	2.613E-29
5063	2.615E-29
5064	2.617E-29
5065	2.619E-29
5066	2.621E-29
5067	2.623E-29
5068	2.625E-29
5069	2.627E-29
5070	2.629E-29
5071	2.631E-29
5072	2.634E-29
5073	2.636E-29
5074	2.638E-29
5075	2.640E-29
5076	2.642E-29
5077	2.644E-29
5078	2.646E-29
5079	2.648E-29
5080	2.650E-29
5081	2.652E-29
5082	2.654E-29
5083	2.657E-29
5084	2.659E-29
5085	2.661E-29
5086	2.663E-29
5087	2.665E-29
5088	2.667E-29
5089	2.669E-29
5090	2.671E-29
5091	2.673E-29
5092	2.675E-29
5093	2.678E-29
5094	2.680E-29
5095	2.682E-29
5096	2.684E-29
5097	2.686E-29
5098	2.688E-29
5099	2.690E-29
5100	2.692E-29
5101	2.694E-29
5102	2.697E-29
5103	2.699E-29
5104	2.701E-29
5105	2.703E-29
5106	2.705E-29
5107	2.707E-29
5108	2.709E-29
5109	2.711E-29
5110	2.714E-29
5111	2.716E-29
5112	2.718E-29
5113	2.720E-29
5114	2.722E-29
5115	2.724E-29
5116	2.726E-29
5117	2.728E-29
5118	2.731E-29
5119	2.733E-29
5120	2.735E-29
5121	2.737E-29
5122	2.739E-29
5123	2.741E-29
5124	2.743E-29
5125	2.746E-29
5126	2.748E-29
5127	2.750E-29
5128	2.752E-29
5129	2.754E-29
5130	2.756E-29
5131	2.758E-29
5132	2.761E-29
5133	2.763E-29
5134	2.765E-29
5135	2.767E-29
5136	2.769E-29
5137	2.771E-29
5138	2.774E-29
5139	2.776E-29
5140	2.778E-29
5141	2.780E-29
5142	2.782E-29
5143	2.784E-29
5144	2.787E-29
5145	2.789E-29
5146	2.791E-29
5147	2.793E-29
5148	2.795E-29
5149	2.797E-29
5150	2.800E-29
5151	2.802E-29
5152	2.804E-29
5153	2.806E-29
5154	2.808E-29
5155	2.811E-29
5156	2.813E-29
5157	2.815E-29
5158	2.817E-29
5159	2.819E-29
5160	2.821E-29
5161	2.824E-29
5162	2.826E-29
5163	2.828E-29
5164	2.830E-29
5165	2.832E-29
5166	2.835E-29
5167	2.837E-29
5168	2.839E-29
5169	2.841E-29
5170	2.843E-29
5171	2.846E-29
5172	2.848E-29
5173	2.850E-29
5174	2.852E-29
5175	2.854E-29
5176	2.857E-29
5177	2.859E-29
5178	2.861E-29
5179	2.863E-29
5180	2.866E-29
5181	2.868E-29
5182	2.870E-29
5183	2.872E-29
5184	2.874E-29
5185	2.877E-29
5186	2.879E-29
5187	2.881E-29
5188	2.883E-29
5189	2.886E-29
5190	2.888E-29
5191	2.890E-29
5192	2.892E-29
5193	2.894E-29
5194	2.897E-29
5195	2.899E-29
5196	2.901E-29
5197	2.903E-29
5198	2.906E-29
5199	2.908E-29
5200	2.910E-29
5201	2.912E-29
5202	2.915E-29
5203	2.917E-29
5204	2.919E-29
5205	2.921E-29
5206	2.924E-29
5207	2.926E-29
5208	2.928E-29
5209	2.930E-29
5210	2.933E-29
5211	2.935E-29
5212	2.937E-29
5213	2.939E-29
5214	2.942E-29
5215	2.944E-29
5216	2.946E-29
5217	2.948E-29
5218	2.951E-29
5219	2.953E-29
5220	2.955E-29
5221	2.957E-29
5222	2.960E-29
5223	2.962E-29
5224	2.964E-29
5225	2.967E-29
5226	2.969E-29
5227	2.971E-29
5228	2.973E-29
5229	2.976E-29
5230	2.978E-29
5231	2.980E-29
5232	2.983E-29
5233	2.985E-29
5234	2.987E-29
5235	2.989E-29
5236	2.992E-29
5237	2.994E-29
5238	2.996E-29
5239	2.999E-29
5240	3.001E-29
5241	3.003E-29
5242	3.005E-29
5243	3.008E-29
5244	3.010E-29
5245	3.012E-29
5246	3.015E-29
5247	3.017E-29
5248	3.019E-29
5249	3.022E-29
5250	3.024E-29
5251	3.026E-29
5252	3.028E-29
5253	3.031E-29
5254	3.033E-29
5255	3.035E-29
5256	3.038E-29
5257	3.040E-29
5258	3.042E-29
5259	3.045E-29
5260	3.047E-29
5261	3.049E-29
5262	3.052E-29
5263	3.054E-29
5264	3.056E-29
5265	3.059E-29
5266	3.061E-29
5267	3.063E-29
5268	3.066E-29
5269	3.068E-29
5270	3.070E-29
5271	3.073E-29
5272	3.075E-29
5273	3.077E-29
5274	3.080E-29
5275	3.082E-29
5276	3.084E-29
5277	3.087E-29
5278	3.089E-29
5279	3.091E-29
5280	3.094E-29
5281	3.096E-29
5282	3.098E-29
5283	3.101E-29
5284	3.103E-29
5285	3.105E-29
5286	3.108E-29
5287	3.110E-29
5288	3.112E-29
5289	3.115E-29
5290	3.117E-29
5291	3.120E-29
5292	3.122E-29
5293	3.124E-29
5294	3.127E-29
5295	3.129E-29
5296	3.131E-29
5297	3.134E-29
5298	3.136E-29
5299	3.139E-29
5300	3.141E-29
5301	3.143E-29
5302	3.146E-29
5303	3.148E-29
5304	3.150E-29
5305	3.153E-29
5306	3.155E-29
5307	3.158E-29
5308	3.160E-29
5309	3.162E-29
5310	3.165E-29
5311	3.167E-29
5312	3.169E-29
5313	3.172E-29
5314	3.174E-29
5315	3.177E-29
5316	3.179E-29
5317	3.181E-29
5318	3.184E-29
5319	3.186E-29
5320	3.189E-29
5321	3.191E-29
5322	3.193E-29
5323	3.196E-29
5324	3.198E-29
5325	3.201E-29
5326	3.203E-29
5327	3.205E-29
5328	3.208E-29
5329	3.210E-29
5330	3.213E-29
5331	3.215E-29
5332	3.218E-29
