H2 photodissociation cross-sections, 
total into all electronic states
Resampled from H2.txt, originally from http://phidrates.space.swri.edu/
lambda [nm], cross-section [cm2]
0.5,9.999999999999944e-36
1.5,9.999999999999944e-36
2.5,9.999999999999944e-36
3.5,9.999999999999944e-36
4.5,9.999999999999944e-36
5.5,9.999999999999944e-36
6.5,9.999999999999944e-36
7.5,9.999999999999944e-36
8.5,9.999999999999944e-36
9.5,9.999999999999944e-36
10.5,9.999999999999944e-36
11.5,9.999999999999944e-36
12.5,9.999999999999944e-36
13.5,9.999999999999944e-36
14.5,9.999999999999944e-36
15.5,9.999999999999944e-36
16.5,9.999999999999944e-36
17.5,9.999999999999944e-36
18.5,9.999999999999944e-36
19.5,9.999999999999944e-36
20.5,9.999999999999944e-36
21.5,9.999999999999944e-36
22.5,9.999999999999944e-36
23.5,9.999999999999944e-36
24.5,9.999999999999944e-36
25.5,9.999999999999944e-36
26.5,9.999999999999944e-36
27.5,9.999999999999944e-36
28.5,9.999999999999944e-36
29.5,9.999999999999944e-36
30.5,9.999999999999944e-36
31.5,9.999999999999944e-36
32.5,9.999999999999944e-36
33.5,9.999999999999944e-36
34.5,9.999999999999944e-36
35.5,9.999999999999944e-36
36.5,9.999999999999944e-36
37.5,9.999999999999944e-36
38.5,9.999999999999944e-36
39.5,9.999999999999944e-36
40.5,9.999999999999944e-36
41.5,9.999999999999944e-36
42.5,9.999999999999944e-36
43.5,9.999999999999944e-36
44.5,9.999999999999944e-36
45.5,9.999999999999944e-36
46.5,9.999999999999944e-36
47.5,9.999999999999944e-36
48.5,9.999999999999944e-36
49.5,9.999999999999944e-36
50.5,9.999999999999944e-36
51.5,9.999999999999944e-36
52.5,9.999999999999944e-36
53.5,9.999999999999944e-36
54.5,9.999999999999944e-36
55.5,9.999999999999944e-36
56.5,9.999999999999944e-36
57.5,9.999999999999944e-36
58.5,9.999999999999944e-36
59.5,9.999999999999944e-36
60.5,9.999999999999944e-36
61.5,9.999999999999944e-36
62.5,9.999999999999944e-36
63.5,9.999999999999944e-36
64.5,9.999999999999944e-36
65.5,3.0242226357899395e-33
66.5,7.101554135535356e-30
67.5,1.6676044462833218e-26
68.5,3.9159098645021605e-23
69.5,9.195436064638581e-20
70.5,8.590257448904127e-19
71.5,1.2301561114272499e-18
72.5,1.7616282951739302e-18
73.5,2.5227157931661695e-18
74.5,3.612620772795703e-18
75.5,3.130131133548362e-18
76.5,1.5974869379524779e-18
77.5,1.4310240613011237e-18
78.5,2.875428065100117e-18
79.5,4.842609170873283e-18
80.5,9.517334324476874e-18
81.5,1.1575995632162236e-17
82.5,1.3311744220009664e-17
83.5,1.210034584962758e-17
84.5,1.2049873380762247e-17
85.5,9.999999999999944e-36
86.5,9.999999999999944e-36
87.5,9.999999999999944e-36
88.5,9.999999999999944e-36
89.5,9.999999999999944e-36
90.5,9.999999999999944e-36
91.5,9.999999999999944e-36
92.5,1.1519330276774789e-35
93.5,2.8797844203736544e-19
94.5,1.9087586910554533e-19
95.5,2.2998695747190763e-19
96.5,2.775317821945542e-19
97.5,2.526531637056899e-19
98.5,3.068677331250874e-19
99.5,3.6490274453857506e-19
100.5,2.865655242067231e-19
101.5,2.3225583109789e-19
102.5,3.6254508794352364e-20
103.5,1.9978953794163192e-20
104.5,1.6788768980205137e-21
105.5,9.394076294551103e-27
106.5,1.11326566931398e-22
107.5,9.309475293527194e-24
108.5,9.999999999999944e-36
109.5,2.965772287036767e-26
110.5,4.691375927633106e-28
111.5,9.999999999999944e-36
112.5,9.999999999999944e-36
113.5,9.999999999999944e-36
114.5,9.999999999999944e-36
115.5,9.999999999999944e-36
116.5,9.999999999999944e-36
117.5,9.999999999999944e-36
118.5,9.999999999999944e-36
119.5,9.999999999999944e-36
120.5,9.999999999999944e-36
121.5,9.999999999999944e-36
122.5,9.999999999999944e-36
123.5,9.999999999999944e-36
124.5,9.999999999999944e-36
125.5,9.999999999999944e-36
126.5,9.999999999999944e-36
127.5,9.999999999999944e-36
128.5,9.999999999999944e-36
129.5,9.999999999999944e-36
130.5,9.999999999999944e-36
131.5,9.999999999999944e-36
132.5,9.999999999999944e-36
133.5,9.999999999999944e-36
134.5,9.999999999999944e-36
135.5,9.999999999999944e-36
136.5,9.999999999999944e-36
137.5,9.999999999999944e-36
138.5,9.999999999999944e-36
139.5,9.999999999999944e-36
140.5,9.999999999999944e-36
141.5,9.999999999999944e-36
142.5,9.999999999999944e-36
143.5,9.999999999999944e-36
144.5,9.999999999999944e-36
145.5,9.999999999999944e-36
146.5,9.999999999999944e-36
147.5,9.999999999999944e-36
148.5,9.999999999999944e-36
149.5,9.999999999999944e-36
150.5,9.999999999999944e-36
151.5,9.999999999999944e-36
152.5,9.999999999999944e-36
153.5,9.999999999999944e-36
154.5,9.999999999999944e-36
155.5,9.999999999999944e-36
156.5,9.999999999999944e-36
157.5,9.999999999999944e-36
158.5,9.999999999999944e-36
159.5,9.999999999999944e-36
160.5,9.999999999999944e-36
161.5,9.999999999999944e-36
162.5,9.999999999999944e-36
163.5,9.999999999999944e-36
164.5,9.999999999999944e-36
165.5,9.999999999999944e-36
166.5,9.999999999999944e-36
167.5,9.999999999999944e-36
168.5,9.999999999999944e-36
169.5,9.999999999999944e-36
170.5,9.999999999999944e-36
171.5,9.999999999999944e-36
172.5,9.999999999999944e-36
173.5,9.999999999999944e-36
174.5,9.999999999999944e-36
175.5,9.999999999999944e-36
176.5,9.999999999999944e-36
177.5,9.999999999999944e-36
178.5,9.999999999999944e-36
179.5,9.999999999999944e-36
180.5,9.999999999999944e-36
181.5,9.999999999999944e-36
182.5,9.999999999999944e-36
183.5,9.999999999999944e-36
184.5,9.999999999999944e-36
185.5,9.999999999999944e-36
186.5,9.999999999999944e-36
187.5,9.999999999999944e-36
188.5,9.999999999999944e-36
189.5,9.999999999999944e-36
190.5,9.999999999999944e-36
191.5,9.999999999999944e-36
192.5,9.999999999999944e-36
193.5,9.999999999999944e-36
194.5,9.999999999999944e-36
195.5,9.999999999999944e-36
196.5,9.999999999999944e-36
197.5,9.999999999999944e-36
