# H2O Cross-Sections
# Taken from Sander et al. 2011, goes shorter than Justin's
# 198.5-210.5 nm copied from Justin's file.
#[nm]	[cm^2]
121.5	1.276e-17
122.5	8.26e-18
123.5	5.89e-18
124.5	6.63e-18
125.5	6.93e-18
126.5	7.68e-18
127.5	7.8e-18
128.5	8.2e-18
129.5	8.19e-18
130.5	7.33e-18
131.5	6.01e-18
132.5	5.38e-18
133.5	5.13e-18
134.5	3.82e-18
135.5	3.1e-18
136.5	2.57e-18
137.5	1.95e-18
138.5	1.29e-18
139.5	1.25e-18
140.5	9.115e-19
141.5	7.319999999999998e-19
142.5	6.059999999999999e-19
143.5	5.675e-19
144.5	5.72e-19
145.5	6.189999999999999e-19
146.5	7.05e-19
147.5	8.005000000000001e-19
148.5	9.295e-19
149.5	1.1049999999999999e-18
150.5	1.305e-18
151.5	1.53e-18
152.5	1.81e-18
153.5	2.04e-18
154.5	2.235e-18
155.5	2.5099999999999997e-18
156.5	2.8049999999999997e-18
157.5	3.11e-18
158.5	3.405e-18
159.5	3.695e-18
160.5	3.9899999999999996e-18
161.5	4.2349999999999994e-18
162.5	4.4499999999999994e-18
163.5	4.68e-18
164.5	4.895e-18
165.5	5.039999999999999e-18
166.5	5.0949999999999995e-18
167.5	5.09e-18
168.5	5.05e-18
169.5	4.97e-18
170.5	4.81e-18
171.5	4.5249999999999994e-18
172.5	4.145e-18
173.5	3.735e-18
174.5	3.36e-18
175.5	3.0149999999999997e-18
176.5	2.62e-18
177.5	2.165e-18
178.5	1.665e-18
179.5	1.1499999999999999e-18
180.5	7.229999999999999e-19
181.5	4.375e-19
182.5	2.49e-19
183.5	1.45e-19
184.5	9.439999999999999e-20
185.5	5.585e-20
186.5	3.55e-20
187.5	2.24e-20
188.5	1.425e-20
189.5	8.76e-21
190.5	5.680000000000001e-21
191.5	3.8199999999999995e-21
192.5	2.55e-21
193.5	1.8499999999999997e-21
194.5	1.4500000000000002e-21
195.5	1.2e-21
196.5	1.05e-21
197.5	9.5e-22
198.5	1.01E-22
199.5	6.20E-23
200.5	3.82E-23
201.5	2.35E-23
202.5	1.45E-23
203.5	8.91E-24
204.5	5.48E-24
205.5	3.38E-24
206.5	2.08E-24
207.5	1.28E-24
208.5	7.88E-25
209.5	4.85E-25
210.5	2.98E-25
211.5	1.84E-25
212.5	1.13E-25
213.5	6.96E-26
214.5	4.29E-26
215.5	2.64E-26
216.5	1.62E-26
217.5	1.00E-26
218.5	6.16E-27
219.5	3.79E-27
